"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 06 19:57:29 GMT 2025","Sun Apr 06 19:57:34 GMT 2025","5354","webkit","contactForm.spec.ts","","","","submitting contact form by automation with valida data is blocked by reCAPTCHA",""
"passed","Sun Apr 06 19:57:02 GMT 2025","Sun Apr 06 19:57:31 GMT 2025","29371","firefox","navigation.spec.ts","","","","top navigation menu can redirect to all pages",""
"passed","Sun Apr 06 19:56:39 GMT 2025","Sun Apr 06 19:57:04 GMT 2025","25354","chromium","navigation.spec.ts","","","","top navigation menu can redirect to all pages",""
"passed","Sun Apr 06 19:56:54 GMT 2025","Sun Apr 06 19:56:58 GMT 2025","3838","firefox","contactForm.spec.ts","","","","submitting contact form by automation with valida data is blocked by reCAPTCHA",""
"passed","Sun Apr 06 19:56:36 GMT 2025","Sun Apr 06 19:56:39 GMT 2025","3454","chromium","contactForm.spec.ts","","","","submitting contact form by automation with valida data is blocked by reCAPTCHA",""
"passed","Sun Apr 06 19:57:33 GMT 2025","Sun Apr 06 19:57:47 GMT 2025","13301","webkit","navigation.spec.ts","","","","navigating to the Leadership page show all founders",""
"passed","Sun Apr 06 19:56:32 GMT 2025","Sun Apr 06 19:56:35 GMT 2025","2978","chromium","contactForm.spec.ts","","","","submitting the Contact Form with empty required fields show validation message",""
"passed","Sun Apr 06 19:56:38 GMT 2025","Sun Apr 06 19:56:44 GMT 2025","5762","chromium","navigation.spec.ts","","","","navigating to the Leadership page show all founders",""
"passed","Sun Apr 06 19:56:35 GMT 2025","Sun Apr 06 19:56:38 GMT 2025","2760","chromium","contactForm.spec.ts","","","","submitting the Contact Form with invalid phone number show validation message",""
"passed","Sun Apr 06 19:57:06 GMT 2025","Sun Apr 06 19:57:10 GMT 2025","4373","webkit","contactForm.spec.ts","","","","submitting the Contact Form with empty required fields show validation message",""
"passed","Sun Apr 06 19:56:32 GMT 2025","Sun Apr 06 19:56:35 GMT 2025","2727","chromium","contactForm.spec.ts","","","","submitting the Contact Form with invalid email show validation message",""
"passed","Sun Apr 06 19:57:59 GMT 2025","Sun Apr 06 19:58:38 GMT 2025","39082","webkit","navigation.spec.ts","","","","top navigation menu can redirect to all pages",""
"passed","Sun Apr 06 19:56:51 GMT 2025","Sun Apr 06 19:56:54 GMT 2025","3521","firefox","contactForm.spec.ts","","","","submitting the Contact Form with invalid phone number show validation message",""
"passed","Sun Apr 06 19:56:58 GMT 2025","Sun Apr 06 19:57:02 GMT 2025","3841","firefox","navigation.spec.ts","","","","navigating to the Leadership page show all founders",""
"passed","Sun Apr 06 19:57:24 GMT 2025","Sun Apr 06 19:57:29 GMT 2025","4341","webkit","contactForm.spec.ts","","","","submitting the Contact Form with invalid phone number show validation message",""
"passed","Sun Apr 06 19:57:11 GMT 2025","Sun Apr 06 19:57:15 GMT 2025","3895","webkit","contactForm.spec.ts","","","","submitting the Contact Form with invalid email show validation message",""
"passed","Sun Apr 06 19:56:48 GMT 2025","Sun Apr 06 19:56:51 GMT 2025","2554","firefox","contactForm.spec.ts","","","","submitting the Contact Form with invalid email show validation message",""
"passed","Sun Apr 06 19:56:45 GMT 2025","Sun Apr 06 19:56:48 GMT 2025","2930","firefox","contactForm.spec.ts","","","","submitting the Contact Form with empty required fields show validation message",""
