"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 06 01:36:51 GMT 2025","Sun Apr 06 01:36:54 GMT 2025","2355","chromium","contactForm.spec.ts","","","","submitting the Contact Form with invalid phone number show validation message",""
"passed","Sun Apr 06 01:37:15 GMT 2025","Sun Apr 06 01:37:36 GMT 2025","20359","firefox","navigation.spec.ts","","","","top navigation menu can redirect to all pages",""
"passed","Sun Apr 06 01:37:38 GMT 2025","Sun Apr 06 01:37:43 GMT 2025","5410","webkit","contactForm.spec.ts","","","","submitting contact form by automation with valida data is blocked by reCAPTCHA",""
"passed","Sun Apr 06 01:37:38 GMT 2025","Sun Apr 06 01:37:43 GMT 2025","4788","webkit","contactForm.spec.ts","","","","submitting the Contact Form with invalid phone number show validation message",""
"passed","Sun Apr 06 01:37:01 GMT 2025","Sun Apr 06 01:37:05 GMT 2025","4282","firefox","contactForm.spec.ts","","","","submitting the Contact Form with empty required fields show validation message",""
"passed","Sun Apr 06 01:37:07 GMT 2025","Sun Apr 06 01:37:10 GMT 2025","2827","firefox","contactForm.spec.ts","","","","submitting the Contact Form with invalid email show validation message",""
"passed","Sun Apr 06 01:37:43 GMT 2025","Sun Apr 06 01:37:58 GMT 2025","14701","webkit","navigation.spec.ts","","","","navigating to the Leadership page show all founders",""
"passed","Sun Apr 06 01:36:34 GMT 2025","Sun Apr 06 01:36:39 GMT 2025","4398","chromium","contactForm.spec.ts","","","","submitting the Contact Form with invalid email show validation message",""
"passed","Sun Apr 06 01:36:34 GMT 2025","Sun Apr 06 01:36:39 GMT 2025","4350","chromium","contactForm.spec.ts","","","","submitting the Contact Form with empty required fields show validation message",""
"passed","Sun Apr 06 01:38:20 GMT 2025","Sun Apr 06 01:38:47 GMT 2025","27114","webkit","navigation.spec.ts","","","","top navigation menu can redirect to all pages",""
"passed","Sun Apr 06 01:36:52 GMT 2025","Sun Apr 06 01:36:55 GMT 2025","3395","chromium","contactForm.spec.ts","","","","submitting contact form by automation with valida data is blocked by reCAPTCHA",""
"passed","Sun Apr 06 01:37:21 GMT 2025","Sun Apr 06 01:37:32 GMT 2025","10938","webkit","contactForm.spec.ts","","","","submitting the Contact Form with empty required fields show validation message",""
"passed","Sun Apr 06 01:37:34 GMT 2025","Sun Apr 06 01:37:38 GMT 2025","3702","webkit","contactForm.spec.ts","","","","submitting the Contact Form with invalid email show validation message",""
"passed","Sun Apr 06 01:37:12 GMT 2025","Sun Apr 06 01:37:15 GMT 2025","3402","firefox","contactForm.spec.ts","","","","submitting contact form by automation with valida data is blocked by reCAPTCHA",""
"passed","Sun Apr 06 01:36:55 GMT 2025","Sun Apr 06 01:37:13 GMT 2025","17854","chromium","navigation.spec.ts","","","","top navigation menu can redirect to all pages",""
"passed","Sun Apr 06 01:37:10 GMT 2025","Sun Apr 06 01:37:12 GMT 2025","2434","firefox","contactForm.spec.ts","","","","submitting the Contact Form with invalid phone number show validation message",""
"passed","Sun Apr 06 01:36:54 GMT 2025","Sun Apr 06 01:36:59 GMT 2025","5362","chromium","navigation.spec.ts","","","","navigating to the Leadership page show all founders",""
"passed","Sun Apr 06 01:37:14 GMT 2025","Sun Apr 06 01:37:19 GMT 2025","5596","firefox","navigation.spec.ts","","","","navigating to the Leadership page show all founders",""
