"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 06 01:11:53 GMT 2025","Sun Apr 06 01:11:58 GMT 2025","5217","webkit","contactForm.spec.ts","","","","submitting the Contact Form with empty required fields show validation message",""
"passed","Sun Apr 06 01:11:40 GMT 2025","Sun Apr 06 01:11:43 GMT 2025","2859","firefox","contactForm.spec.ts","","","","submitting the Contact Form with invalid phone number show validation message",""
"passed","Sun Apr 06 01:11:25 GMT 2025","Sun Apr 06 01:11:28 GMT 2025","2508","chromium","contactForm.spec.ts","","","","submitting the Contact Form with invalid phone number show validation message",""
"passed","Sun Apr 06 01:11:43 GMT 2025","Sun Apr 06 01:11:47 GMT 2025","4206","firefox","contactForm.spec.ts","","","","submitting contact form by automation with valida data is blocked by reCAPTCHA",""
"passed","Sun Apr 06 01:11:26 GMT 2025","Sun Apr 06 01:11:29 GMT 2025","3536","chromium","contactForm.spec.ts","","","","submitting contact form by automation with valida data is blocked by reCAPTCHA",""
"passed","Sun Apr 06 01:12:12 GMT 2025","Sun Apr 06 01:12:26 GMT 2025","13891","webkit","navigation.spec.ts","","","","navigating to the Leadership page show all founders",""
"passed","Sun Apr 06 01:11:22 GMT 2025","Sun Apr 06 01:11:25 GMT 2025","2836","chromium","contactForm.spec.ts","","","","submitting the Contact Form with empty required fields show validation message",""
"passed","Sun Apr 06 01:11:37 GMT 2025","Sun Apr 06 01:11:40 GMT 2025","2368","firefox","contactForm.spec.ts","","","","submitting the Contact Form with invalid email show validation message",""
"passed","Sun Apr 06 01:12:03 GMT 2025","Sun Apr 06 01:12:06 GMT 2025","3782","webkit","contactForm.spec.ts","","","","submitting the Contact Form with invalid phone number show validation message",""
"passed","Sun Apr 06 01:12:11 GMT 2025","Sun Apr 06 01:12:40 GMT 2025","29701","webkit","navigation.spec.ts","","","","top navigation menu can redirect to all pages",""
"passed","Sun Apr 06 01:11:28 GMT 2025","Sun Apr 06 01:11:32 GMT 2025","4823","chromium","navigation.spec.ts","","","","navigating to the Leadership page show all founders",""
"passed","Sun Apr 06 01:12:06 GMT 2025","Sun Apr 06 01:12:11 GMT 2025","4199","webkit","contactForm.spec.ts","","","","submitting contact form by automation with valida data is blocked by reCAPTCHA",""
"passed","Sun Apr 06 01:11:22 GMT 2025","Sun Apr 06 01:11:25 GMT 2025","2354","chromium","contactForm.spec.ts","","","","submitting the Contact Form with invalid email show validation message",""
"passed","Sun Apr 06 01:11:59 GMT 2025","Sun Apr 06 01:12:03 GMT 2025","3623","webkit","contactForm.spec.ts","","","","submitting the Contact Form with invalid email show validation message",""
"passed","Sun Apr 06 01:11:47 GMT 2025","Sun Apr 06 01:11:51 GMT 2025","4368","firefox","navigation.spec.ts","","","","navigating to the Leadership page show all founders",""
"passed","Sun Apr 06 01:11:34 GMT 2025","Sun Apr 06 01:11:37 GMT 2025","3266","firefox","contactForm.spec.ts","","","","submitting the Contact Form with empty required fields show validation message",""
"passed","Sun Apr 06 01:11:49 GMT 2025","Sun Apr 06 01:12:09 GMT 2025","20833","firefox","navigation.spec.ts","","","","top navigation menu can redirect to all pages",""
"passed","Sun Apr 06 01:11:29 GMT 2025","Sun Apr 06 01:11:48 GMT 2025","18542","chromium","navigation.spec.ts","","","","top navigation menu can redirect to all pages",""
