"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 06 20:08:43 GMT 2025","Sun Apr 06 20:08:45 GMT 2025","2628","chromium","contactForm.spec.ts","","","","submitting the Contact Form with empty required fields show validation message",""
"passed","Sun Apr 06 20:09:11 GMT 2025","Sun Apr 06 20:09:41 GMT 2025","29691","firefox","navigation.spec.ts","","","","top navigation menu can redirect to all pages",""
"passed","Sun Apr 06 20:08:46 GMT 2025","Sun Apr 06 20:08:50 GMT 2025","4374","chromium","contactForm.spec.ts","","","","submitting contact form by automation with valida data is blocked by reCAPTCHA",""
"passed","Sun Apr 06 20:08:53 GMT 2025","Sun Apr 06 20:08:57 GMT 2025","3682","firefox","contactForm.spec.ts","","","","submitting the Contact Form with empty required fields show validation message",""
"passed","Sun Apr 06 20:09:15 GMT 2025","Sun Apr 06 20:09:20 GMT 2025","4076","webkit","contactForm.spec.ts","","","","submitting the Contact Form with empty required fields show validation message",""
"passed","Sun Apr 06 20:08:59 GMT 2025","Sun Apr 06 20:09:03 GMT 2025","3716","firefox","contactForm.spec.ts","","","","submitting the Contact Form with invalid phone number show validation message",""
"passed","Sun Apr 06 20:08:43 GMT 2025","Sun Apr 06 20:08:45 GMT 2025","2710","chromium","contactForm.spec.ts","","","","submitting the Contact Form with invalid email show validation message",""
"passed","Sun Apr 06 20:09:42 GMT 2025","Sun Apr 06 20:10:16 GMT 2025","33681","webkit","navigation.spec.ts","","","","top navigation menu can redirect to all pages",""
"passed","Sun Apr 06 20:09:28 GMT 2025","Sun Apr 06 20:09:32 GMT 2025","4637","webkit","contactForm.spec.ts","","","","submitting contact form by automation with valida data is blocked by reCAPTCHA",""
"passed","Sun Apr 06 20:08:47 GMT 2025","Sun Apr 06 20:08:52 GMT 2025","4629","chromium","navigation.spec.ts","","","","navigating to the Leadership page show all founders",""
"passed","Sun Apr 06 20:09:32 GMT 2025","Sun Apr 06 20:09:45 GMT 2025","12311","webkit","navigation.spec.ts","","","","navigating to the Leadership page show all founders",""
"passed","Sun Apr 06 20:08:50 GMT 2025","Sun Apr 06 20:09:14 GMT 2025","24028","chromium","navigation.spec.ts","","","","top navigation menu can redirect to all pages",""
"passed","Sun Apr 06 20:09:07 GMT 2025","Sun Apr 06 20:09:11 GMT 2025","3468","firefox","navigation.spec.ts","","","","navigating to the Leadership page show all founders",""
"passed","Sun Apr 06 20:09:24 GMT 2025","Sun Apr 06 20:09:28 GMT 2025","3654","webkit","contactForm.spec.ts","","","","submitting the Contact Form with invalid phone number show validation message",""
"passed","Sun Apr 06 20:08:46 GMT 2025","Sun Apr 06 20:08:47 GMT 2025","1794","chromium","contactForm.spec.ts","","","","submitting the Contact Form with invalid phone number show validation message",""
"passed","Sun Apr 06 20:09:20 GMT 2025","Sun Apr 06 20:09:24 GMT 2025","3628","webkit","contactForm.spec.ts","","","","submitting the Contact Form with invalid email show validation message",""
"passed","Sun Apr 06 20:09:03 GMT 2025","Sun Apr 06 20:09:07 GMT 2025","4220","firefox","contactForm.spec.ts","","","","submitting contact form by automation with valida data is blocked by reCAPTCHA",""
"passed","Sun Apr 06 20:08:57 GMT 2025","Sun Apr 06 20:08:59 GMT 2025","2136","firefox","contactForm.spec.ts","","","","submitting the Contact Form with invalid email show validation message",""
